model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.tv2_in1k,eps_0.01,layer3.2.bn2,256,237,0.007833126825764236,0.008941011975483672
timm:resnet50.tv2_in1k,eps_0.01,layer3.3.bn1,256,244,0.007319757058740288,0.008940459435459448
timm:resnet50.tv2_in1k,eps_0.01,layer3.3.bn2,256,245,0.006886808092203523,0.008474139080829522
timm:resnet50.tv2_in1k,eps_0.01,layer3.4.bn1,256,240,0.008352945754688795,0.00964502156051581
timm:resnet50.tv2_in1k,eps_0.01,layer3.4.bn2,256,242,0.008049744059054615,0.009932327036633668
timm:resnet50.tv2_in1k,eps_0.01,layer3.5.bn1,256,247,0.007531491300935341,0.009958948388637692
timm:resnet50.tv2_in1k,eps_0.01,layer3.5.bn2,256,248,0.0068418313680820315,0.00934167700853839
timm:resnet50.tv2_in1k,eps_0.01,layer4.0.bn1,512,499,0.0066699680215641256,0.009240541767000858
timm:resnet50.tv2_in1k,eps_0.01,layer4.0.bn2,512,499,0.006381130185883936,0.00936106465775953
timm:resnet50.tv2_in1k,eps_0.01,layer4.1.bn1,512,489,0.006774479888124127,0.009663927031169896
timm:resnet50.tv2_in1k,eps_0.01,layer4.1.bn2,512,494,0.007157421317975306,0.009346658509197732
timm:resnet50.tv2_in1k,eps_0.01,layer4.2.bn1,512,479,0.008058939895502529,0.00976971178031228
timm:resnet50.tv2_in1k,eps_0.01,layer4.2.bn2,512,482,0.008362426948830748,0.009717882820334908
